country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","06-03-2025 18:00:00",24.75746,84.366208,SO2,6,14,11
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","06-03-2025 18:00:00",25.42742023,86.13886079,PM10,86,142,120
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","06-03-2025 18:00:00",25.42742023,86.13886079,SO2,3,34,16
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","06-03-2025 18:00:00",26.80365,84.51954,PM2.5,23,100,43
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","06-03-2025 18:00:00",26.80365,84.51954,PM10,75,161,101
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","06-03-2025 18:00:00",26.80365,84.51954,SO2,10,22,16
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","06-03-2025 18:00:00",25.251013,86.989001,PM2.5,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","06-03-2025 18:00:00",25.251013,86.989001,CO,15,90,46
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","06-03-2025 18:00:00",25.251013,86.989001,OZONE,10,21,18
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","06-03-2025 18:00:00",25.265194,87.012947,PM2.5,18,70,33
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","06-03-2025 18:00:00",13.204880,79.097889,SO2,2,3,3
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","06-03-2025 18:00:00",14.465052,78.824187,PM10,67,158,95
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","06-03-2025 18:00:00",14.465052,78.824187,SO2,14,16,15
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","06-03-2025 18:00:00",16.9872867,81.7363176,NO2,13,51,26
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","06-03-2025 18:00:00",13.67,79.35,PM10,62,138,106
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","06-03-2025 18:00:00",13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","06-03-2025 18:00:00",13.67,79.35,CO,22,61,28
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","06-03-2025 18:00:00",13.615387,79.409230,NH3,2,12,5
India,Assam,Silchar,"Tarapur, Silchar - PCBA","06-03-2025 18:00:00",24.82827,92.79525,OZONE,2,39,17
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","06-03-2025 18:00:00",26.987634,94.636574,NO2,13,49,36
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","06-03-2025 18:00:00",26.987634,94.636574,NH3,1,7,5
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","06-03-2025 18:00:00",26.146529,87.454184,NO2,5,10,8
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","06-03-2025 18:00:00",25.5626095,84.663264,PM2.5,17,50,23
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","06-03-2025 18:00:00",25.5626095,84.663264,PM10,48,103,74
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","06-03-2025 18:00:00",25.5626095,84.663264,NO2,4,9,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","06-03-2025 18:00:00",25.5626095,84.663264,SO2,9,10,9
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","06-03-2025 18:00:00",25.5626095,84.663264,OZONE,37,134,104
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","06-03-2025 18:00:00",24.762518,84.982348,PM10,47,130,70
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","06-03-2025 18:00:00",24.762518,84.982348,OZONE,13,59,44
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","06-03-2025 18:00:00",25.697189,85.245900,PM10,112,196,148
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","06-03-2025 18:00:00",25.560083,87.553265,PM2.5,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","06-03-2025 18:00:00",26.0881305,87.93840336,SO2,2,65,36
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","06-03-2025 18:00:00",26.0881305,87.93840336,CO,13,13,13
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","06-03-2025 18:00:00",26.0881305,87.93840336,OZONE,12,20,18
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","06-03-2025 18:00:00",26.187500,91.744194,PM2.5,1,389,253
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","06-03-2025 18:00:00",26.187500,91.744194,SO2,16,39,29
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","06-03-2025 18:00:00",26.181742,91.78063,OZONE,1,97,71
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","06-03-2025 18:00:00",26.349082,92.68449,PM2.5,30,90,49
India,Assam,Silchar,"Tarapur, Silchar - PCBA","06-03-2025 18:00:00",24.82827,92.79525,PM2.5,36,96,62
India,Assam,Silchar,"Tarapur, Silchar - PCBA","06-03-2025 18:00:00",24.82827,92.79525,NO2,8,23,18
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","06-03-2025 18:00:00",16.509717,80.612222,PM2.5,57,89,72
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","06-03-2025 18:00:00",16.509717,80.612222,NO2,48,81,60
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","06-03-2025 18:00:00",16.554731,80.649110,PM10,46,62,53
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","06-03-2025 18:00:00",16.554731,80.649110,OZONE,5,43,36
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","06-03-2025 18:00:00",17.72,83.3,NH3,1,4,2
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","06-03-2025 18:00:00",26.071318,91.87488,NH3,4,5,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","06-03-2025 18:00:00",26.071318,91.87488,SO2,22,31,28
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","06-03-2025 18:00:00",26.071318,91.87488,CO,6,66,51
India,Assam,Guwahati,"IITG, Guwahati - PCBA","06-03-2025 18:00:00",26.2028636,91.70046436,SO2,19,22,20
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","06-03-2025 18:00:00",26.10887,91.589544,PM2.5,58,283,134
